No,index, name, address, latitude, longtitude,경도,위도
91,91,버드내네거리,중구 유천동 306-18,,,127.392555434747,36.31687610705
92,92,서대전농협,중구 유천동 308-7,,,127.394717310049,36.3180478061348
95,95,판암역 2번출구,동구 판암동 323-2,,,127.459058381273,36.3168880819355
97,97,가오고등학교,동구 가오동 465,,,127.455631535803,36.3104473096163
99,99,홈플러스 가오점(건너편),동구 가오동 644,,,127.456964060254,36.3062719290985
100,100,홈플러스 가오점,동구 가오동 552,,,127.457065918041,36.3074000692639
101,101,은어송마을4단지,동구 가오동 555,,,127.461836369328,36.3098652192189
102,102,은어송마을2단지,동구 대성동 130-1,,,127.457754139979,36.303738884712
103,103,대전남부여성가족원,동구 가오동 559-1,,,127.459358990427,36.3041256843648
104,104,국립중앙과학관,유성구 가정동 54-4,,,127.378054828309,36.3751573099327
105,105,카이스트 서쪽 쪽문,유성구 구성동 23,,,127.363895841717,36.3688547731735
106,106,카이스트 다솜관,유성구 구성동 23,,,127.363895841717,36.3688547731735
107,107,카이스트 세종관,유성구 구성동 23,,,127.363895841717,36.3688547731735
108,108,목원대학교 입구,유성구 용계동 664-4,,,127.33755063187,36.3316462234091
109,109,서부농협본점,서구 탄방동 1455,,,127.387936799147,36.3423922855812
110,110,용문네거리(용문역 3번출구),서구 용문동 594-10,,,127.392089742773,36.3377415690603
111,111,순복음교회(수침교),서구 용문동 249-11,,,127.396871831879,36.3358653356302
112,112,나르메아파트 길건너,서구 가장동 45-8,,,127.38537138236,36.3318591204034
113,113,가장교(성은사),서구 가장동 31-7,,,127.388093596891,36.3286159280356
114,114,태평동성당,중구 태평동 346-1,,,127.396870647682,36.3297101473026
115,115,한전 대전세종충남지역본부(건너편),동구 용전동 45-1,,,127.434100930525,36.3572430095706
116,116,홈플러스(동대전점),동구 용전동 51-17,,,127.436512075301,36.355134684892
118,118,복합터미널,동구 용전동 143-16,,,127.43482231331,36.3488387920535
119,119,용전동 천주교회,동구 용전동 144-1,,,127.432699603834,36.3493852066351
120,120,한국통신 용전지점,동구 용전동 167-20,,,127.432216160949,36.3529642907189
121,121,용전네거리(하나은행),동구 용전동 44-2,,,127.433193013783,36.3578659185932
122,122,한남대후문 입구,대덕구 중리동 231-5,,,127.423598497254,36.3585207299189
123,123,구)대덕경찰서(문평동),대덕구 문평동 83-2,,,127.40594600271,36.4467985575021
124,124,목상동주민센터,대덕구 목상동 185-1,,,127.413194482267,36.4482721458136
